Tanggal,Komponen,1100.10,4000.01.03,2002.04.03,2002.03.04,7200.02,Uang Masuk 1000.02.04,biaya Admin Bank 6000.01.08
19/2/25,SETTLEMENT,"868,560.00","752,000","37,600","78,960",,"861,427.10","7,132.90"
20/2/25,SETTLEMENT,"1,220,538.00","1,088,950","42,448","89,140",,"1,209,767.51","10,770.49"
21/2/25,SETTLEMENT,"860,475.00","745,000","37,250","78,225",,"854,503.66","5,971.34"
22/2/25,SETTLEMENT,"1,604,205.00","1,401,000","65,550","137,655",,"1,594,575.91","9,629.09"
23/2/25,SETTLEMENT,"1,205,820.00","1,044,000","52,200","109,620",,"1,195,179.20","10,640.80"
24/2/25,SETTLEMENT,"337,260.00","292,000","14,600","30,660",,"335,166.00","2,094.00"
25/2/25,SETTLEMENT,"468,324.00","407,000","19,750","41,475",,"465,066.98","3,257.02"
26/2/25,SETTLEMENT,"554,400.00","480,000","24,000","50,400",,"550,633.56","3,766.44"
27/2/25,SETTLEMENT,"791,845.00","699,000","29,950","62,895",,"785,796.15","6,048.85"
28/2/25,SETTLEMENT,"773,850.00","688,000","34,400","72,240",,"768,391.48","5,458.52"
1/3/25,SETTLEMENT,"2,630,805.00","2,316,000","101,550","213,255",,"2,607,047.68","23,757.32"
2/3/25,SETTLEMENT,"1,386,245.00","1,219,000","53,950","113,295",,"1,374,226.68","12,018.32"
3/3/25,SETTLEMENT,"421,980.00","365,350","18,268","38,362",,"419,634.84","2,345.16"
4/3/25,SETTLEMENT,"662,970.00","574,000.00","28,700.00","60,270.00",,"658,615.08","4,354.92"
5/3/25,SETTLEMENT,"623,700.00","540,000.00","27,000.00","56,700.00",,"619,334.10","4,365.90"
6/3/25,SETTLEMENT,"1,055,670.00","914,000.00","45,700.00","95,970.00",,"1,047,741.42","7,928.58"
7/3/25,SETTLEMENT,"1,240,067.00","1,073,650.00","53,683.00","112,734.00",,"1,230,938.13","9,128.87"
8/3/25,SETTLEMENT,"2,050,125.00","1,775,000.00","88,750.00","186,375.00",,"2,031,871.21","18,253.79"
9/3/25,SETTLEMENT,"1,562,715.00","1,353,000.00","67,650.00","142,065.00",,"1,550,581.08","12,133.92"
10/3/25,SETTLEMENT,"363,825.00","315,000.00","15,750.00","33,075.00",,"360,017.38","3,807.62"
11/3/25,SETTLEMENT,"906,675.00","785,000.00","39,250.00","82,425.00",,"899,856.06","6,818.94"
12/3/25,SETTLEMENT,"1,010,110.00","892,000.00","38,100.00","80,010.00",,"1,003,522.03","6,587.97"
13/3/25,SETTLEMENT,"820,720.00","724,000.00","31,200.00","65,520.00",,"813,625.78","7,094.22"
14/3/25,SETTLEMENT,"685,262.00","593,300.00","29,665.00","62,297.00",,"679,663.71","5,598.29"
15/3/25,SETTLEMENT,"2,763,725.00","2,439,000.00","104,750.00","219,975.00",,"2,741,094.83","22,630.17"
16/3/25,SETTLEMENT,"2,886,194.00","2,539,800.00","111,740.00","238,066.00",,"2,862,334.28","23,859.72"
17/3/25,SETTLEMENT,"312,095.00","289,000.00","7,450.00","15,645.00",,"309,910.34","2,184.66"
18/3/25,SETTLEMENT,"671,055.00","581,000.00","29,050.00","61,005.00",,"665,985.44","5,069.56"
19/3/25,SETTLEMENT,"731,360.00","652,000.00","25,600.00","53,760.00",,"726,640.71","4,719.29"
20/3/25,SETTLEMENT,"2,031,015.00","1,843,000.00","60,650.00","127,365.00",,"2,012,938.38","18,076.62"
21/3/25,SETTLEMENT,"1,131,944.00","994,800.00","44,240.00","92,904.00",,"1,124,498.57","7,445.43"
22/3/25,SETTLEMENT,"2,926,356.00","2,555,650.00","119,583.00","252,383.00",,"2,904,200.65","22,155.35"
23/3/25,SETTLEMENT,"2,413,500.00","2,150,000.00","85,000.00","178,500.00",,"2,396,509.39","16,990.61"
24/3/25,SETTLEMENT,"778,470.00","674,000.00","33,700.00","70,770.00",,"773,020.72","5,449.28"
25/3/25,SETTLEMENT,"1,608,337.00","1,255,000.00","58,250.00","127,051.00",,"1,598,112.63","10,224.37"
26/3/25,SETTLEMENT,"1,379,174.00","1,276,350.00","43,818.00","92,017.00",,"1,368,470.80","10,703.20"
27/3/25,SETTLEMENT,"945,460.00","953,000.00","42,649.00","96,565.00",,"938,268.05","7,191.95"
28/3/25,SETTLEMENT,"1,652,320.00","1,444,000.00","67,200.00","141,120.00",,"1,638,882.66","13,437.34"
29/3/25,SETTLEMENT,"3,355,185.00","2,917,000.00","141,350.00","296,835.00",,"3,329,248.49","25,936.51"
30/3/25,SETTLEMENT,"2,537,093.00","2,201,450.00","108,272.00","227,372.00",,"2,517,518.46","19,574.54"
31/3/25,SETTLEMENT,"1,360,590.00","1,178,000.00","58,900.00","123,690.00",,"1,351,287.47","9,302.53"
1/4/25,SETTLEMENT,"2,478,794.00","2,178,350.00","96,918.00","203,527.00",,"2,457,078.10","21,715.90"
2/4/25,SETTLEMENT,"1,912,230.00","1,676,000.00","76,200.00","160,650.00",,"1,896,248.31","15,981.69"
3/4/25,SETTLEMENT,"1,725,875.00","1,538,550.00","60,428.00","131,623.00",,"1,709,314.57","16,560.43"
4/4/25,SETTLEMENT,"1,097,815.00","978,000.00","38,650.00","81,165.00",,"1,088,046.92","9,768.08"
5/4/25,SETTLEMENT,"1,886,390.00","1,648,000.00","76,900.00","161,490.00",,"1,870,025.46","16,364.54"
6/4/25,SETTLEMENT,"2,645,465.00","2,335,000.00","100,150.00","210,315.00",,"2,625,168.22","20,296.78"
7/4/25,SETTLEMENT,"1,416,424.00","1,279,350.00","44,216.00","98,894.00",,"1,405,459.05","10,964.95"
8/4/25,SETTLEMENT,"737,165.00","653,000.00","27,150.00","57,015.00",,"731,254.11","5,910.89"
9/4/25,SETTLEMENT,"1,199,204.00","1,050,350.00","48,018.00","105,562.00",,"1,184,910.35","14,293.65"
10/4/25,SETTLEMENT,"781,704.00","676,800.00","33,840.00","71,064.00",,"776,505.25","5,198.75"
11/4/25,SETTLEMENT,"741,390.00","658,000.00","26,900.00","56,490.00",,"734,521.26","6,868.74"
12/4/25,SETTLEMENT,"2,417,390.00","2,148,000.00","86,900.00","187,740.00",,"1,837,059.94","580,330.06"
13/4/25,SETTLEMENT,"3,224,065.00","2,833,000.00","126,150.00","264,915.00",,"3,761,654.13","(537,589.13)"
14/4/25,SETTLEMENT,"597,290.00","548,000.00","15,900.00","33,390.00",,"593,108.98","4,181.02"
15/4/25,SETTLEMENT,"922,845.00","799,000.00","39,950.00","83,895.00",,"913,784.69","9,060.31"
16/4/25,SETTLEMENT,"1,096,095.00","949,000.00","47,450.00","99,645.00",,"1,088,513.88","7,581.12"
17/4/25,SETTLEMENT,"1,152,420.00","1,034,000.00","38,200.00","80,220.00",,"1,139,540.16","12,879.84"
18/4/25,SETTLEMENT,"2,519,240.00","2,208,000.00","100,400.00","210,840.00",,"2,497,451.46","21,788.54"
19/4/25,SETTLEMENT,"1,699,409.00","1,471,350.00","73,568.00","154,492.00",,"1,688,463.14","10,945.86"
20/4/25,SETTLEMENT,"4,128,985.00","3,697,000.00","139,350.00","297,885.00",,"4,100,777.92","28,207.08"
21/4/25,SETTLEMENT,"485,255.00","451,000.00","11,050.00","23,205.00",,"481,344.23","3,910.77"
22/4/25,SETTLEMENT,"593,460.00","542,000.00","16,600.00","34,860.00",,"585,584.40","7,875.60"
23/4/25,SETTLEMENT,"660,845.00","599,000.00","19,950.00","41,895.00",,"657,394.74","3,450.26"
24/4/25,SETTLEMENT,"878,745.00","789,000.00","28,950.00","60,795.00",,"870,725.93","8,019.07"
25/4/25,SETTLEMENT,"1,157,889.00","1,002,500.00","50,126.00","105,263.00",,"1,149,826.12","8,062.88"
26/4/25,SETTLEMENT,"3,069,785.00","2,737,000.00","107,350.00","225,435.00",,"3,044,109.20","25,675.80"
27/4/25,SETTLEMENT,"3,923,990.00","3,543,000.00","122,898.00","285,302.00",,"3,893,532.79","30,457.21"
28/4/25,SETTLEMENT,"979,440.00","848,000.00","42,400.00","89,040.00",,"972,535.80","6,904.20"
29/4/25,SETTLEMENT,"1,103,180.00","986,000.00","37,800.00","86,730.00",,"1,094,978.80","8,201.20"
30/4/25,SETTLEMENT,"921,525.00","820,000.00","32,750.00","68,775.00",,"916,540.85","4,984.15"
1/5/25,SETTLEMENT,"2,620,520.00","2,344,000.00","89,200.00","187,320.00",,"2,602,719.73","17,800.27"
2/5/25,SETTLEMENT,"1,475,765.00","1,326,700.00","48,085.00","100,978.00",,"1,463,043.38","12,721.62"
3/5/25,SETTLEMENT,"1,616,120.00","1,414,000.00","65,200.00","136,920.00",,"1,605,712.49","10,407.51"
4/5/25,SETTLEMENT,"2,262,865.00","2,033,000.00","74,150.00","174,247.00",,"2,240,794.90","22,070.10"
5/5/25,SETTLEMENT,"651,420.00","564,000.00","28,200.00","59,220.00",,"647,133.23","4,286.77"
6/5/25,SETTLEMENT,"788,990.00","718,000.00","22,901.00","48,090.00",,"785,443.39","3,546.61"
7/5/25,SETTLEMENT,"1,136,686.00","1,029,100.00","34,705.00","72,880.00",,"1,125,427.91","11,258.09"
8/5/25,SETTLEMENT,"1,175,885.00","1,057,000.00","38,350.00","80,535.00",,"1,164,474.60","11,410.40"
9/5/25,SETTLEMENT,"1,322,866.00","1,248,000.00","24,153.00","50,715.00",,"1,306,092.87","16,773.13"
10/5/25,SETTLEMENT,"2,404,545.00","2,135,000.00","86,950.00","184,107.00",,"2,386,731.96","17,813.04"
11/5/25,SETTLEMENT,"3,634,650.00","3,320,000.00","101,500.00","213,150.00",,"3,604,531.53","30,118.47"
12/5/25,SETTLEMENT,"1,642,410.00","1,422,000.00","71,100.00","149,310.00",,"1,628,505.94","13,904.06"
13/5/25,SETTLEMENT,"631,785.00","547,000.00","27,350.00","57,435.00",,"626,717.17","5,067.83"
14/5/25,SETTLEMENT,"224,070.00","194,000.00","9,700.00","20,370.00",,"222,501.52","1,568.48"
15/5/25,SETTLEMENT,"490,875.00","425,000.00","21,250.00","44,625.00",,"486,567.81","4,307.19"
16/5/25,SETTLEMENT,"394,480.00","361,000.00","10,800.00","22,680.00",,"391,251.17","3,228.83"
17/5/25,SETTLEMENT,"2,047,755.00","1,781,000.00","86,050.00","180,705.00",,"2,030,745.14","17,009.86"
18/5/25,SETTLEMENT,"2,150,720.00","1,899,000.00","81,200.00","170,520.00",,"2,130,847.17","19,872.83"
19/5/25,SETTLEMENT,"478,748.00","414,500.00","20,725.00","43,522.00",,"475,815.47","2,932.53"
20/5/25,SETTLEMENT,"918,685.00","837,000.00","26,350.00","55,335.00",,"908,418.57","10,266.43"
21/5/25,SETTLEMENT,"706,860.00","612,000.00","30,600.00","64,260.00",,"700,000.01","6,859.99"
22/5/25,SETTLEMENT,"591,635.00","527,000.00","20,850.00","43,785.00",,"586,063.57","5,571.43"
23/5/25,SETTLEMENT,"567,775.00","505,000.00","20,250.00","42,525.00",,"563,722.93","4,052.07"
24/5/25,SETTLEMENT,"2,224,855.00","1,986,000.00","77,050.00","161,805.00",,"2,211,171.96","13,683.04"
25/5/25,SETTLEMENT,"2,502,805.00","2,281,000.00","71,550.00","157,080.00",,"2,477,636.98","25,168.02"
26/5/25,SETTLEMENT,"704,365.00","645,000.00","19,150.00","40,845.00",,"695,757.43","8,607.57"
27/5/25,SETTLEMENT,"1,841,055.00","1,782,000.00","19,050.00","45,515.00",,"1,816,165.31","24,889.69"
28/5/25,SETTLEMENT,"989,305.00","876,000.00","36,550.00","84,367.00",,"982,242.73","7,062.27"
29/5/25,SETTLEMENT,"1,898,115.00","1,670,900.00","73,295.00","153,919.00",,"1,884,793.83","13,321.17"
30/5/25,SETTLEMENT,"1,588,060.00","1,394,000.00","62,600.00","132,090.00",,"1,576,268.79","11,791.21"
31/5/25,SETTLEMENT,"1,053,684.00","925,700.00","41,285.00","86,699.00",,"1,046,186.95","7,497.05"
1/6/25,SETTLEMENT,"1,877,080.00","1,670,000.00","66,800.00","145,950.00",,"1,860,231.94","16,848.06"
2/6/25,SETTLEMENT,"637,825.00","558,000.00","25,750.00","54,075.00",,"632,318.80","5,506.20"
3/6/25,SETTLEMENT,"505,267.00","437,460.00","21,874.00","45,933.00",,"501,920.14","3,346.86"
4/6/25,SETTLEMENT,"908,811.00","788,460.00","38,823.00","81,528.00",,"900,621.27","8,189.73"
5/6/25,SETTLEMENT,"963,270.00","834,000.00","41,700.00","87,570.00",,"956,558.20","6,711.80"
6/6/25,SETTLEMENT,"2,464,158.00","2,136,690.00","105,636.00","222,672.00",,"2,446,185.40","17,972.60"
7/6/25,SETTLEMENT,"1,984,707.00","1,785,460.00","64,274.00","138,385.00",,"1,965,359.99","19,347.01"
8/6/25,SETTLEMENT,"2,298,891.00","1,990,380.00","99,522.00","208,989.00",,"2,282,803.53","16,087.47"
9/6/25,SETTLEMENT,"1,251,756.00","1,103,230.00","47,912.00","100,614.00",,"1,240,372.72","11,383.28"
